Country,Month,track_name,artist_names,Total_Streams
TH,2024-12,APT.,"ROSÉ, Bruno Mars",2220594
US,2023-06,505,Arctic Monkeys,7185480
US,2023-06,7 Summers,Morgan Wallen,4314126
US,2023-06,77,"Peso Pluma, Eladio Carrion",2200220
US,2023-06,AMARGURA,KAROL G,2043576
US,2023-06,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé, Kendrick Lamar",2663103
US,2023-07,500lbs,Lil Tecca,2334993
US,2023-07,505,Arctic Monkeys,9451708
US,2023-07,7 Summers,Morgan Wallen,9067627
US,2023-07,AMARGURA,KAROL G,2261703
US,2023-07,AMG,"Natanael Cano, Peso Pluma, Gabito Ballesteros",9371112
US,2023-08,505,Arctic Monkeys,11826858
US,2023-08,7 Summers,Morgan Wallen,2189377
US,2023-08,AMARGURA,KAROL G,7012001
US,2023-08,AMG,"Natanael Cano, Peso Pluma, Gabito Ballesteros",2130829
US,2023-08,Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",4154448
US,2023-09,20 Min,Lil Uzi Vert,10030890
US,2023-09,500lbs,Lil Tecca,7018194
US,2023-09,505,Arctic Monkeys,10686689
US,2023-09,AMARGURA,KAROL G,2280518
US,2023-09,Agora Hills,Doja Cat,7162920
US,2023-10,20 Min,Lil Uzi Vert,2258906
US,2023-10,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",15484820
US,2023-10,500lbs,Lil Tecca,18295190
US,2023-10,505,Arctic Monkeys,10623909
US,2023-10,7969 Santa,Drake,11243941
US,2023-11,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,36726236
US,2023-11,(Don't Fear) The Reaper,Blue Öyster Cult,2115927
US,2023-11,(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,2308026
US,2023-11,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",7445059
US,2023-11,500lbs,Lil Tecca,29198472
US,2023-12,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,8068791
US,2023-12,(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,12621261
US,2023-12,500lbs,Lil Tecca,22124275
US,2023-12,505,Arctic Monkeys,10370659
US,2023-12,A Holly Jolly Christmas,Burl Ives,35604551
US,2024-01,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,4470647
US,2024-01,500lbs,Lil Tecca,21162350
US,2024-01,505,Arctic Monkeys,10489837
US,2024-01,Agora Hills,Doja Cat,22950087
US,2024-01,Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",5168573
US,2024-02,16 CARRIAGES,Beyoncé,6556286
US,2024-02,2 days into college,Aimee Carty,2533951
US,2024-02,500lbs,Lil Tecca,29170782
US,2024-02,505,Arctic Monkeys,12687135
US,2024-02,A Cold Sunday,Lil Yachty,7887328
US,2024-03,500lbs,Lil Tecca,19671161
US,2024-03,505,Arctic Monkeys,10478591
US,2024-03,A Cold Sunday,Lil Yachty,2368882
US,2024-03,Agora Hills,Doja Cat,17566546
US,2024-03,Ain't No Love,"Future, Metro Boomin",4191671
US,2024-04,16 CARRIAGES,Beyoncé,9280403
US,2024-04,23,Chayce Beckham,2509364
US,2024-04,3001,J. Cole,2852769
US,2024-04,500lbs,Lil Tecca,16346519
US,2024-04,505,Arctic Monkeys,11127101
US,2024-05,360,Charli xcx,2920944
US,2024-05,500lbs,Lil Tecca,17749929
US,2024-05,505,Arctic Monkeys,14002369
US,2024-05,A Bar Song (Tipsy),Shaboozey,92742729
US,2024-05,ADIVINO,"Myke Towers, Bad Bunny",11374659
US,2024-06,360,Charli xcx,12335989
US,2024-06,500lbs,Lil Tecca,11050935
US,2024-06,505,Arctic Monkeys,10434117
US,2024-06,7 Summers,Morgan Wallen,7853974
US,2024-06,A Bar Song (Tipsy),Shaboozey,63105663
US,2024-07,(Sittin' On) the Dock of the Bay,Otis Redding,5213628
US,2024-07,28,Zach Bryan,27698486
US,2024-07,360,Charli xcx,18655312
US,2024-07,500lbs,Lil Tecca,5204410
US,2024-07,505,Arctic Monkeys,7664467
US,2024-08,(Sittin' On) the Dock of the Bay,Otis Redding,2720124
US,2024-08,2055,Sleepy Hallow,4875851
US,2024-08,28,Zach Bryan,29409535
US,2024-08,360,Charli xcx,26813927
US,2024-08,365,Charli xcx,10787980
US,2024-09,2055,Sleepy Hallow,7397458
US,2024-09,28,Zach Bryan,21496057
US,2024-09,360,Charli xcx,13922146
US,2024-09,500lbs,Lil Tecca,2429875
US,2024-09,505,Arctic Monkeys,15767837
US,2024-10,20 Min,Lil Uzi Vert,9589668
US,2024-10,25,Rod Wave,2817011
US,2024-10,28,Zach Bryan,20157285
US,2024-10,360,Charli xcx,5582910
US,2024-10,500lbs,Lil Tecca,10323745
US,2024-11,(Sittin' On) the Dock of the Bay,Otis Redding,2405080
US,2024-11,+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",2960645
US,2024-11,2 hands,Tate McRae,9006256
US,2024-11,20 Min,Lil Uzi Vert,7711661
US,2024-11,28,Zach Bryan,8863166
US,2024-12,(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,2903828
US,2024-12,2 hands,Tate McRae,2644168
US,2024-12,505,Arctic Monkeys,6532175
US,2024-12,A Bar Song (Tipsy),Shaboozey,12860351
US,2024-12,A Holly Jolly Christmas,Burl Ives,10935079
VN,2023-06,10 Ngàn Năm,PC,361697
VN,2023-06,2AM,"JustaTee, BigDaddy",369289
VN,2023-06,3 1 0 7 (feat. Duongg & Nâu),"W/N, Duongg, Nâu",302541
VN,2023-06,3 1 0 7 - 2 (feat. DuongG & Nau),"W/N, Duongg, Nau",238594
VN,2023-06,3107 3,"W/N, Duongg, Nau, titie",420180
VN,2023-07,10 Ngàn Năm,PC,528938
VN,2023-07,2AM,"JustaTee, BigDaddy",498720
VN,2023-07,3 1 0 7 (feat. Duongg & Nâu),"W/N, Duongg, Nâu",403844
VN,2023-07,3 1 0 7 - 2 (feat. DuongG & Nau),"W/N, Duongg, Nau",80761
