Country,artist_names,streams
AU,Whitney Houston,356848
AU,"Beyoncé, Linda Martell, Shaboozey",355944
AU,"21 Savage, Lil Durk, Metro Boomin",355482
AU,Justin Timberlake,355405
AU,"21 Savage, Summer Walker",355148
AU,"Tyla, Gunna, Skillibeng",352881
AU,"21 Savage, Brent Faiyaz",351348
AU,"Beyoncé, Kendrick Lamar",349122
AU,"League of Legends, NewJeans",347316
AU,Cold Chisel,346299
AU,A Boogie Wit da Hoodie,343582
AU,"Beyoncé, Rumi Carter",343201
AU,"21 Savage, Young Thug, Metro Boomin",338315
AU,Jason Mraz,326754
AU,Milky Chance,322594
AU,"SZA, Justin Bieber",321921
AU,"Diplo, Jessie Murph, Polo G",321245
AU,3 Doors Down,320626
AU,"Post Malone, 21 Savage",320432
AU,Tom Petty,319489
AU,"Rihanna, Mikky Ekko",314144
AU,"The Kid LAROI, Future, BabyDrill",313399
AU,"Queen, David Bowie",306622
AU,Zac Brown Band,305823
AU,RÜFÜS DU SOL,305689
AU,"Offset, Travis Scott",303144
AU,Russ,289281
AU,"Metro Boomin, James Blake",282797
AU,BTS,273676
BR,Henrique & Juliano,1598239285
BR,Zé Neto & Cristiano,919982561
BR,Simone Mendes,674034951
BR,Ana Castela,566987670
BR,Luan Santana,404350892
BR,Hugo & Guilherme,377918463
BR,Murilo Huff,337877134
BR,"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",301595672
BR,"Grupo Menos É Mais, Matheus Fernandes",293003507
BR,Gusttavo Lima,291970067
BR,Matuê,243384030
BR,"DENNIS, MC Kevin o Chris",239614245
BR,"AgroPlay, Ana Castela",237205570
BR,Lauana Prado,234676147
BR,"Veigh, Bvga Beatz, Prod Malax, Supernova Ent",230343173
BR,Matheus & Kauan,226496595
BR,Maiara & Maraisa,224549273
BR,Felipe Amorim,223704026
BR,Marília Mendonça,220143595
BR,Felipe e Rodrigo,217704686
BR,"Gusttavo Lima, Ana Castela",213260214
BR,"MC Kevin o Chris, Dj Nk Da Serra, Mc Magrinho",206752810
BR,Luísa Sonza,203549867
BR,"Guilherme & Benuto, Simone Mendes",197162739
BR,Billie Eilish,196588531
BR,"Manu, Simone Mendes",193260582
BR,"Vulgo FK, MC PH, Veigh, Pedro Lotto, Fepache",183116981
BR,Bruno Mars,182536251
BR,"Guilherme & Benuto, Ana Castela, Adriano Rhod",182486144
BR,"THE BOX, Mc Brinquedo, MC Cebezinho, MC Tuto, Mc Laranjinha, DJ Oreia",179045046
BR,"Israel & Rodolffo, Mari Fernandez",174102636
BR,"Hugo & Guilherme, Maiara & Maraisa",173663956
BR,"Luan Pereira, Mc Daniel, MC Ryan SP",170965123
BR,"Gusttavo Lima, Matheus & Kauan",170506578
BR,Isadora Pompeo,170186610
BR,Israel & Rodolffo,163369177
BR,Clayton & Romário,161048949
BR,Kadu Martins,160716846
BR,Grelo,160508304
BR,"DJ JZ, Humberto & Ronaldo, Mc Mininin, DJ LG PROD, Silvanno Salles",158566670
BR,"Mc Livinho, DJ Matt D",158445340
BR,"Jorge & Mateus, Lauana Prado",156096909
BR,"KayBlack, AMUSIK, Wall Hein",153736232
BR,"MC Saci, Complexo dos Hits, DJ Sammer, Mc Pretchako",153670462
BR,"DJ TOPO, Seu Jorge, Mc Leozin, MC G15",150905194
BR,"KayBlack, Marquinho no Beat, Wall Hein",146774432
BR,Juliette,141963837
BR,"Ana Castela, Gustavo Mioto",140719854
BR,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",138311154
BR,"NATTAN, Felipe Amorim",138260124
BR,NATTAN,136779664
BR,Rogerinho,134569845
BR,Jorge & Mateus,133322366
BR,Sabrina Carpenter,133082977
BR,PEDRO SAMPAIO,133047498
BR,"dj sv, Doug Hits, Manim Vaqueiro",128666819
BR,"KayBlack, Baco Exu do Blues, Marquinho no Beat",128293452
BR,"Luan Pereira, Gustavo Mioto",127906655
BR,"AgroPlay, Ana Castela, LUDMILLA",126406698
BR,Taylor Swift,124776170
BR,MC PH,124379761
BR,"Mc Pedrinho, DJ 900",124299433
BR,"Matheus & Kauan, Mari Fernandez",123800574
BR,WIU,123521149
BR,"Dj Lc, DJ JOAO DA INESTAN, Mc Pretchako, MC Saci, Complexo dos Hits",122569457
BR,Gustavo Moura & Rafael,120477541
BR,"MC PH, Borges, WIU, Pedro Lotto, WEY",119800179
BR,Linkin Park,115984805
BR,"Felipe Amorim, Mc Mika",114818708
BR,"Zé Neto & Cristiano, Ana Castela",111959394
BR,"Luan Santana, Ana Castela",111959054
BR,"KayBlack, Wall Hein",111949514
BR,"Matheus Fernandes, Matheus & Kauan",111596282
BR,Arctic Monkeys,111000515
BR,"Murilo Huff, Gustavo Mioto",110111391
BR,"Tropa do Bruxo, SMU, Dj Vitin do Pc, MC JF, MC NAHARA",109972622
BR,"Kaique e Felipe, Luan Pereira",109611628
BR,Ferrugem,108166374
BR,"Sorriso Maroto, Ferrugem",106776179
BR,"Mc IG, DJ Jorgin",105691953
BR,"Luísa Sonza, KayBlack",104347925
BR,"Veigh, Tz da Coronel, Toledo, Nagalli, Bvga Beatz, Supernova Ent",103624589
BR,"TR, Mc Menor RV, Tropa da W&S",102513309
BR,Maria Marçal,101957246
BR,"MC Cebezinho, DJ Oreia, MC Tuto, Love Funk, Mc Kako",99169635
BR,Guilherme & Benuto,99088775
BR,"MC Tuto, DJ Glenner",97843557
BR,"Gustavo Mioto, Mc Don Juan",97448070
BR,"Mc IG, MC Ryan SP, Oruam, MC PH, Mc Poze do Rodo, MC GP, TrapLaudo, Mc Luki, MC GH do 7, MC Nego Micha, Murillo e LT no Beat",97294142
BR,"Eric Land, Tarcísio do Acordeon",97068498
BR,"CountryBeat, Félix, Léo Souzza",95953766
BR,"Luan Pereira, Murilo Huff",95298606
BR,"Orochi, Caio Luccas, Pedro Lotto, Mainstreet, Galdino, Ribb",94611900
BR,"GREGO, Paulo Pires, ÉaBest",94144659
BR,"Ferrugem, Sorriso Maroto",93371273
BR,"Israel & Rodolffo, Ana Castela",93329687
BR,Grupo Menos É Mais,93233629
BR,"Mc Ws da leste, MC Cothiê, Dj Chadin do C",91790472
BR,"Manu, Guilherme & Benuto",91308569
BR,"Traia Véia, Murilo Huff",91183191
BR,"The Weeknd, JENNIE, Lily-Rose Depp",90872046
BR,"George Henrique & Rodrigo, Guilherme & Benuto",89791004
BR,Gloria Groove,89651636
BR,"Diego & Victor Hugo, Luan Pereira",89448737
BR,Mari Fernandez,88938566
BR,"Jorge & Mateus, Henrique & Juliano",88007524
BR,"Matuê, Rich The Kid",87881815
BR,"Chefin, Mainstreet, LB Único",87364536
BR,Dj Luan Gomes,87305512
BR,"DJ Arana, MC Maneirinho, Mc Luan, MC Tigrão, Mc Barbie",86999595
BR,Jimin,85963664
BR,"Murilo Huff, Marília Mendonça",85933163
BR,Léo Foguete,85753717
BR,Harry Styles,85624451
BR,Benson Boone,85577774
BR,"Lady Gaga, Bruno Mars",85262740
BR,"MC Ryan SP, Filipe Ret, Chefin, Caio Luccas, Dallass, Rocco",84921411
BR,Léo Santana,84746573
BR,"Melody, Naldo Benny, Matheus Alves",83576588
BR,"Gustavo Mioto, Mari Fernandez",82799562
BR,"Mc IG, Murillo e LT no Beat, DJ Glenner",82556107
BR,"Ana Castela, Hungria, Alok",82128018
BR,"Traia Véia, Luan Pereira",81875554
BR,"MC Caverinha, KayBlack, Wall Hein",79820041
BR,"Rayane & Rafaela, Henrique & Juliano",79729363
BR,Charlie Brown Jr.,79440684
BR,"Matuê, WIU, Teto",79346789
BR,"Luan Pereira, Mc Daniel",79150406
BR,"Borges, MC Cabelinho, Veigh, RUXN, Palma, Kizzy",78795036
BR,"Luan Pereira, MC Ryan SP",78541534
BR,"Lauana Prado, Guilherme & Benuto",77669587
