rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,Country,Date
15,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,15,15,8,1679429,DE,2024-10-31
16,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,7,13,24,1663275,DE,2024-10-31
17,spotify:track:1Bds1PSumHSeVQFqIWc77p,Shindy,40 Tage,Urban,17,75,2,1587644,DE,2024-10-31
18,spotify:track:5ubQrs2wWoSgRwEaPZd4eS,LACAZETTE,H&K,LACAZETTE,8,12,9,1556523,DE,2024-10-31
19,spotify:track:4DvJL9DY4YIL2b5tLTZMy7,"Aymen, SadiQ",Hoodie Hoodie,MOONBOYS ENT.,19,-1,1,1535542,DE,2024-10-31
20,spotify:track:4qdGZUy2bzM8GB2qBaMWpR,"SANTOS, Sido",Geschlossene Augen,Urban,5,7,3,1464416,DE,2024-10-31
21,spotify:track:3pPMgoouYtezLiBTEeL9be,"FOURTY, Bausa, CHEKAA",VEMPA,Life is Pain,3,17,28,1445044,DE,2024-10-31
22,spotify:track:4rA41YUfp4ZXdmbBoiDJhG,Dardan,Blanco,Hypnotize Entertainment,14,14,2,1362139,DE,2024-10-31
23,spotify:track:3Vw4SxsPsVwG4xwK3Il0mP,Berq,PIROUETTEN,Urban,23,-1,1,1336215,DE,2024-10-31
24,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,1,20,33,1320786,DE,2024-10-31
25,spotify:track:5JLbgRkto4OrrkWgAHcJZT,Souly,Bundeswehr,Souly,19,19,6,1283556,DE,2024-10-31
26,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (with Playboi Carti),XO / Republic Records,6,21,5,1221350,DE,2024-10-31
27,spotify:track:42VsgItocQwOQC3XWZ8JNA,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,4,27,63,1199252,DE,2024-10-31
28,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,24,41,1176775,DE,2024-10-31
29,spotify:track:57gjUsErLOYxTOqyiK6CVm,"Amo, Nimo",Rapstar,Epic/385i,4,23,8,1124103,DE,2024-10-31
30,spotify:track:3qcreqi8RaGqahtJSQDxNI,GReeeN,Panama,recordJet,1,26,22,1096362,DE,2024-10-31
31,spotify:track:5nPbKG04fhLkIAjcPFaZq7,"HUGEL, Topic, Arash, Daecolm",I Adore You (feat. Daecolm),Virgin,18,29,15,1085539,DE,2024-10-31
32,spotify:track:0io16MKpbeDIdYzmGpQaES,Ndotz,Embrace It,Isekai Records,19,22,7,1085479,DE,2024-10-31
33,spotify:track:4UKQ8zZQ92nTdxQpz6VrPv,bac,Rosaroter Tee,Polydor,33,153,2,1084894,DE,2024-10-31
34,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,In the End,Warner Records,15,36,290,1082890,DE,2024-10-31
35,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,28,28,20,1082022,DE,2024-10-31
36,spotify:track:2nLtzopw4rPReszdYBJU6h,Linkin Park,Numb,Warner Records,13,31,105,1081769,DE,2024-10-31
37,spotify:track:1bJRd2ey6ER7neSxZwYdAG,"BL3SS, CamrinWatsin, bbyclose",Kisses (feat. bbyclose),Atlantic Records UK,37,44,13,1071421,DE,2024-10-31
38,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,3,30,21,1055602,DE,2024-10-31
39,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,9,33,29,1032174,DE,2024-10-31
40,spotify:track:3aJT51ya8amzpT3TKDVipL,LACAZETTE,FTW,LACAZETTE,4,25,7,1027189,DE,2024-10-31
41,spotify:track:59NraMJsLaMCVtwXTSia8i,"cassö, RAYE, D-Block Europe",Prada,Ministry of Sound Recordings,2,42,64,1026032,DE,2024-10-31
42,spotify:track:1cXo8i9dgutdqjhjz3Zwqq,"Zartmann, Drumla, Dauner",eehhhyyy,Bamboo Artists/Epic,13,37,18,1022438,DE,2024-10-31
43,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,35,39,200,1018691,DE,2024-10-31
44,spotify:track:6leQi7NakJQS1vHRtZsroe,Pashanim,Mittelmeer,Urban,1,32,23,1016796,DE,2024-10-31
45,spotify:track:3Lo7UekbaAJxXoDHX8KUQ6,KC Rebell,Daddy is back,Rebell Army,12,18,3,1005702,DE,2024-10-31
46,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",46,132,2,996966,DE,2024-10-31
47,spotify:track:2u9N4Gwql6V5GggEbVlB4x,Amo,Blue Lights,Epic/385i,47,-1,1,976212,DE,2024-10-31
48,spotify:track:3U5JVgI2x4rDyHGObzJfNf,Natasha Bedingfield,Unwritten,Sony Music CG,2,43,42,973634,DE,2024-10-31
49,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,38,55,22,962906,DE,2024-10-31
50,spotify:track:540JMtXlUGkUn6ITsryjRM,"Provinz, $OHO BANI",Draußen ist Krieg,Provinz,50,-1,1,954898,DE,2024-10-31
51,spotify:track:0rtDE9zfXbamTlRUSwY7zy,Mark Ambor,Belong Together,"Hundred Days Records, LLC",4,46,34,953389,DE,2024-10-31
52,spotify:track:3ovTEUMYEoiT8ikEMVXBmS,AYLIVA,Lilien,Whiteheart Records/WM Germany,2,34,11,918772,DE,2024-10-31
53,spotify:track:6Z1C9gQnScliphROi2DabV,LACAZETTE,CUP,LACAZETTE,6,38,10,916509,DE,2024-10-31
54,spotify:track:0GygZGU4rg08x4IxT42Csb,"Ufo361, Henning May",7 LEERE ZIMMER (feat. Henning May),Epic/Stay High,8,40,3,912849,DE,2024-10-31
55,spotify:track:64CWBV60WRWZhb92wmxNNd,"Niklas Dee, René Miller",Around The World,Bamboo Artists,28,56,13,908056,DE,2024-10-31
56,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,15,54,28,896700,DE,2024-10-31
