rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country,date
11,spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,Myke Towers,LA FALDA,WEA Latina,2,10,35,2527255,ES,25
12,spotify:track:6XjDF6nds4DE2BBbagZol6,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,2,11,23,2300595,ES,25
13,spotify:track:6a9Z1jUms915w4O7N1PxjY,"Rvssian, Rauw Alejandro, Ayra Starr",Santa,Sony Music Latin,1,12,16,2210898,ES,25
14,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,1,15,113,2098632,ES,25
15,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,2,16,34,2081983,ES,25
16,spotify:track:3KeYEr9ogMBemsOfQIJmZp,"Big One, Maria Becerra, Trueno",Cuando Te Vi | CROSSOVER #5,Fifty One,16,22,4,2076950,ES,25
17,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,"KAROL G, Peso Pluma",QLONA,Bichota/Interscope Records,8,38,50,2004805,ES,25
18,spotify:track:1emJPywtseFLmLCcPY92dW,"Dei V, Cris Mj",Rapido (with Cris Mj),Encore Recordings,11,17,6,1947719,ES,25
19,spotify:track:4yyCGGdTVaYG17vhsrUPoL,"FloyyMenor, Lewis Somes",APAGA EL CEL,FloyyMenor under exclusive license to UnitedMasters LLC,9,18,9,1921946,ES,25
20,spotify:track:2TWX6XUqmPx44FDOmgtb0I,Gonzy,FRIKI,"Virgin Music Latin / Visonare Recordings, LLC",8,14,14,1907346,ES,25
21,spotify:track:6xqQDwzjswlToEEHgvA3KM,"Lola Indigo, Manuel Turizo",1000COSAS,Universal Music Spain S.L.,4,19,20,1888733,ES,25
22,spotify:track:505v13epFXodT9fVAJ6h8k,KAROL G,AMARGURA,BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,22,46,67,1793051,ES,25
23,spotify:track:7CsOowK8aWlxgjuZLW7pXA,"Omar Montes, Lola Indigo, Las Chuches",EL PANTALON - RUMBAS,Sony Music Latin,3,25,8,1775402,ES,25
24,spotify:track:62k8iliO7KTiYp7LWGPa5p,"Gonzy, SAIKO, Arcángel",X'CLUSIVO - REMIX,"Virgin Music Latin / Visonare Recordings, LLC",1,21,21,1738262,ES,25
25,spotify:track:49kkoKoXAnjNRlxot1ZnlW,"Omar Montes, Rels B",YOTULOKO,Sony Music Latin,25,31,2,1702332,ES,25
26,spotify:track:2bipvepI8ridFvIAImR5Xf,"El Bobe, Omar Montes",El Conjuntito,Cycling Records,1,24,18,1630248,ES,25
27,spotify:track:7ulBZOeFHaCeN2ubZxHxsg,Isabel Aaiún,Potra Salvaje,Níquel Records,23,23,6,1612772,ES,25
28,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,Quevedo,Columbia,Quevedo,1,29,55,1579994,ES,25
29,spotify:track:4YnmQG1fnJR9LnTZtix70T,"J Abdiel, De La Rose, Yan Block, iZaak, Jay Wheeler",WYA REMIX RED,SONAR LLC.,26,26,8,1568457,ES,25
30,spotify:track:5KbBVSj6AJZ5662fO8EYFh,"Marshmello, Manuel Turizo",El Merengue,Sony Music Latin,4,30,73,1552407,ES,25
31,spotify:track:7B8FKzh1mzjPp9GxjED0MT,"JC Reyes, The Rudeboyz",COMUNA 3,JC Reyes,12,20,11,1550933,ES,25
32,spotify:track:33VIvWmmCUgix6Htm1WdOJ,"JC Reyes, De La Ghetto",FARDOS,JC Reyes,1,28,23,1496336,ES,25
33,spotify:track:2btNsI4OvcVl7SAHQQDHFB,"Blessd, Ovy On The Drums",Mírame,WEA Latina,27,27,4,1491470,ES,25
34,spotify:track:3FuDnj8GeuIDPyFsLOmyck,"Samuel G, Oscar el Ruso, Aissa, Nickzzy, Juseph, Samueliyo Baby",Whisky,Samuel G,34,41,4,1446901,ES,25
35,spotify:track:5Uptvz6j1sjDKxidAcnH2L,Cris Mj,SI NO ES CONTIGO,Sonar LLC.,35,37,8,1369221,ES,25
