rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,Country,Date
109,spotify:track:1QsoYk84HOt7F7iqjlydlW,El Komander,El Taquicardio,La Disco Music,109,123,2,1824225,MX,2024-07-11
110,spotify:track:2awKQgW88iq9jFM54VaCAp,La Quinta Estacion,El Sol No Regresa,Ariola,87,87,100,1822919,MX,2024-07-11
111,spotify:track:4xv5AneqR0bTokomIPfGyT,"Peso Pluma, Chino Pacas",MAMI,2024 Double P Records,54,90,3,1818739,MX,2024-07-11
112,spotify:track:4OyzSXRSadNQt5EMwASdap,Camila,Todo Cambió,Columbia,85,103,15,1814751,MX,2024-07-11
113,spotify:track:0SRddBTphQwQcfqw4Br1uX,León Larregui,Brillas,EMI México,43,145,385,1807901,MX,2024-07-11
114,spotify:track:7MmrcXVA7A5zZ2CbDuGHNa,Rels B,A Mí,DALE PLAY Records / Flakk Team,68,106,281,1806127,MX,2024-07-11
115,spotify:track:0UbesRsX2TtiCeamOIVEkp,"Fuerza Regida, Natanael Cano",Ch y la Pizza,Rancho Humilde/Street Mob Records,6,78,84,1805832,MX,2024-07-11
116,spotify:track:5aJ1M43pinROpwaPnO8KRj,Natanael Cano,Amor Tumbado,Rancho Humilde,30,111,146,1802112,MX,2024-07-11
117,spotify:track:4OVpyR6yhYyVoRj9D7CERz,"Banda MS de Sergio Lizárraga, Carin Leon",Ojos Cerrados,Lizos Music,44,133,131,1794576,MX,2024-07-11
118,spotify:track:5pVJ3IlnpIorU44oXizzG5,"Boza, ELENA ROSE",Orion,Sony Music Latin,118,-1,1,1791736,MX,2024-07-11
119,spotify:track:0ItgotO5txriRAp6lXMHJ7,Junior H,A TU NOMBRE,WEA Latina,75,132,17,1788660,MX,2024-07-11
120,spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,1,130,114,1776674,MX,2024-07-11
121,spotify:track:1qrhpxdnC4nUCyFefPVCDa,"Peso Pluma, Luis R Conriquez",SR. SMITH,2024 Double P Records,42,98,3,1770094,MX,2024-07-11
122,spotify:track:0OG0qjJ9gN85kWZtIzW5uS,Junior H,LOKERON X AMOR,WEA Latina,106,179,3,1768862,MX,2024-07-11
123,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,1,126,114,1760987,MX,2024-07-11
124,spotify:track:4yyCGGdTVaYG17vhsrUPoL,"FloyyMenor, Lewis Somes",APAGA EL CEL,FloyyMenor under exclusive license to UnitedMasters LLC,124,188,3,1760276,MX,2024-07-11
125,spotify:track:5SHXikmjPwChjvpVIeYkMf,"Oscar Maydon, Junior H, Gabito Ballesteros",Skin de Bandida,Rancho Humilde,14,139,42,1754193,MX,2024-07-11
126,spotify:track:3rdAz1fbUfZxYgaCviYhRo,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,1,115,132,1744745,MX,2024-07-11
127,spotify:track:4UUf48kLSSO3fLL0lYkfoe,Calibre 50,Escuela Del Virus Antrax,Disa,80,80,2,1742908,MX,2024-07-11
128,spotify:track:46YjJXVXWHlQ21odKktg5e,"Tainy, Bad Bunny",MOJABI GHOST,"NEON16, LLC",15,125,54,1735580,MX,2024-07-11
129,spotify:track:3HqcNJdZ2seoGxhn0wVNDK,KAROL G,PROVENZA,BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,1,153,116,1733863,MX,2024-07-11
