rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,country
39,spotify:track:4QTlxavdQGUVitxAvQqqkU,BigXthaPlug,Mmhmm,BigXthaPlug under exclusive license to UnitedMasters LLC,39,68,17,4880623,,US
40,spotify:track:7mOC6phfrfz3jfigg1aGsE,"GloRilla, Megan Thee Stallion",Wanna Be (with Megan Thee Stallion),CMG/Interscope Records,40,-1,1,4848185,,US
41,spotify:track:5W4kiM2cUYBJXKRudNyxjW,Morgan Wallen,You Proof,Big Loud Records / Mercury Records / Republic Records,8,61,100,4767086,,US
42,spotify:track:0eBFgRxyVSeuT4iyrbukdn,Luke Combs,Where the Wild Things Are,River House Artists/Columbia Nashville,42,67,9,4687063,,US
43,spotify:track:2Zo1PcszsT9WQ0ANntJbID,Sabrina Carpenter,Feather,Island Records,20,72,20,4644246,,US
44,spotify:track:0R6NfOiLzLj4O5VbYSJAjf,Xavi,La Diabla,Interscope Records,6,58,17,4630410,,US
45,spotify:track:6me7F0aaZjwDo6RJ5MrfBD,Richy Mitch & The Coal Miners,Evergreen,Richy Mitch & The Coal Miners,40,60,29,4559304,,US
46,spotify:track:6dpLxbF7lfCAnC9QRTjNLK,Good Neighbours,Home,Some Action,35,64,11,4525534,,US
47,spotify:track:1aKvZDoLGkNMxoRYgkckZG,ILLIT,Magnetic,BELIFT LAB,47,63,2,4501020,,US
48,spotify:track:0dEAiKNbHt4mrjjoiL0loc,Xavi,Corazón de Piedra,Interscope Records,48,66,3,4476145,,US
49,spotify:track:6Y4rniIxibegzsg8cdWAWV,Beyoncé,BODYGUARD,Parkwood Entertainment/Columbia,13,13,2,4371467,,US
50,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,Roc Nation Records LLC,10,81,322,4310602,,US
51,spotify:track:6rjuKpPydT2SxN15TZpV7r,Lil Tecca,500lbs,Galactic Records/Lil Tecca,12,69,31,4237316,,US
52,spotify:track:4J9WveqdoaEUQu1aeoSH9X,"J. Cole, Cam'ron",Ready ‘24 (feat. Cam’ron),"Cole World, Inc. under exclusive license to Interscope Records",52,-1,1,4219667,,US
53,spotify:track:3cBsEDNhFI9E82vPj3kvi3,Morgan Wallen,Wasted On You,Big Loud / Republic,3,74,168,4203170,,US
54,spotify:track:2x2olWuWXpqjoeE4bO1NFS,Flo Milli,Never Lose Me,'94 Sounds/RCA Records,6,51,15,4191369,,US
55,spotify:track:1ACA277B6f46DYCgZW8di3,Artemas,if u think i'm pretty,Artemas,55,94,5,4165570,,US
56,spotify:track:7sTyAjxDXq9afwfSQy6D0s,Don Toliver,BANDIT,Cactus Jack / Atlantic,15,54,10,4097561,,US
57,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,10,62,70,4085025,,US
58,spotify:track:2UDARQiksl207HcSduDpov,"Beyoncé, Post Malone",LEVII'S JEANS,Parkwood Entertainment/Columbia,16,16,2,4050305,,US
59,spotify:track:3h76tbaYIamSeJL81X7ZwI,Benson Boone,Cry,"Night Street Records, Inc./Warner Records Inc.",59,-1,1,4008411,,US
60,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,18,78,20,3970811,,US
61,spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),OVO/Republic,11,75,27,3853859,,US
62,spotify:track:2Dct3GykKZ58hpWRFfe2Qd,Zach Bryan,Heading South,Warner Records,36,71,74,3842597,,US
63,spotify:track:2kE2HFBFkJ0VMw3igxYohz,"Jessie Murph, Jelly Roll",Wild Ones (feat. Jelly Roll),Columbia,55,76,27,3816268,,US
64,spotify:track:3lMzT16MjAKKXF7pSZn13B,Lay Bankz,Tell Ur Girlfriend,"Artist Partner Group, Inc.",64,-1,1,3812223,,US
