rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,country
44,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,39,45,57,578346,,AU
45,spotify:track:31MNHKE86sEXzIglbGQ6mu,Troye Sivan,Got Me Started,EMI Recorded Music Australia Pty Ltd,20,37,10,573460,,AU
46,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,36,49,143,560941,,AU
47,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",Darkroom/Interscope Records,2,41,20,551479,,AU
48,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,6,46,23,540139,,AU
49,spotify:track:1s7oOCT8vauUh01PbJD6ps,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,22,48,64,531540,,AU
50,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,Roc Nation Records LLC,25,50,231,531059,,AU
51,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,51,86,4,525759,,AU
52,spotify:track:1udwFobQ1JoOdWPQrp2b6u,"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate),Dreamville/Interscope,52,60,3,516793,,AU
53,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,30,53,49,505727,,AU
54,spotify:track:6p1GHnHSJSma1orNgP7NoE,Bobby Helms,Jingle Bell Rock,Big Buzz Productions,6,-1,23,502750,,AU
55,spotify:track:5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,2,31,5,501582,,AU
56,spotify:track:2m6HgwjakjAXimujX8m4sk,The Kid LAROI,BLEED,Columbia,43,43,4,491751,,AU
57,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,Santa Tell Me,Universal Records,3,189,33,490717,,AU
58,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Heat Waves,Polydor Records,1,56,174,488123,,AU
59,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,50,52,232,487937,,AU
60,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,62,253,477410,,AU
61,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,2,98,219,472287,,AU
62,spotify:track:5Eh1nj7IjV9lwpcKAkidyY,Troye Sivan,One Of Your Girls,EMI Recorded Music Australia Pty Ltd,23,39,7,467364,,AU
63,spotify:track:2YSzYUF3jWqb9YP9VXmpjE,"Drake, Yeat",IDGAF (feat. Yeat),OVO/Republic,8,47,8,459497,,AU
64,spotify:track:2Dct3GykKZ58hpWRFfe2Qd,Zach Bryan,Heading South,Warner Records,57,67,31,459370,,AU
65,spotify:track:4ZnkygoWLzcGbQYCm3lkae,Troye Sivan,Rush,EMI Recorded Music Australia Pty Ltd,11,55,20,458094,,AU
66,spotify:track:5W4kiM2cUYBJXKRudNyxjW,Morgan Wallen,You Proof,Big Loud Records / Mercury Records / Republic Records,15,66,62,454573,,AU
67,spotify:track:1mMLMZYXkMueg65jRRWG1l,Luke Combs,When It Rains It Pours,River House Artists/Columbia Nashville,30,63,66,454416,,AU
68,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,2,70,66,453194,,AU
69,spotify:track:3E7dfMvvCLUddWissuqMwr,Miley Cyrus,Party In The U.S.A.,Hollywood Records,52,64,267,452579,,AU
70,spotify:track:0ntQJM78wzOLVeCUAW7Y45,Kings of Leon,Sex on Fire,RCA/Legacy,59,68,138,452437,,AU
71,spotify:track:3azJifCSqg9fRij2yKIbWz,Tory Lanez,The Color Violet,One Umbrella Records,30,74,67,451077,,AU
72,spotify:track:1rv46mRwDqMEhOBZ7vODg3,Michael Bublé,It's Beginning to Look a Lot like Christmas,Reprise,3,-1,33,450865,,AU
73,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,Jive,12,77,61,446165,,AU
74,spotify:track:741UUVE2kuITl0c6zuqqbO,"Nicki Minaj, Ice Spice, Aqua",Barbie World (with Aqua) [From Barbie The Album],Atlantic Records,3,57,23,442648,,AU
75,spotify:track:4EWCNWgDS8707fNSZ1oaA5,Kanye West,Heartless,Roc-A-Fella,45,81,79,441755,,AU
76,spotify:track:0FDzzruyVECATHXKHFs9eJ,Coldplay,A Sky Full of Stars,Parlophone UK,61,61,2,439709,,AU
77,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,1,80,120,435439,,AU
78,spotify:track:2LawezPeJhN4AWuSB0GtAU,Creedence Clearwater Revival,Have You Ever Seen The Rain,Craft Recordings,67,79,67,432525,,AU
79,spotify:track:23RoR84KodL5HWvUTneQ1w,Peggy Gou,(It Goes Like) Nanana - Edit,XL Recordings,25,69,23,431249,,AU
80,spotify:track:567e29TDzLwZwfDuEpGTwo,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,85,125,428186,,AU
81,spotify:track:0yfJlRyn9VEZfonQUIPdkr,"FISHER, Kita Alexander",Atmosphere,Catch & Release,78,78,13,426760,,AU
82,spotify:track:07GvNcU1WdyZJq3XxP0kZa,Fleetwood Mac,Go Your Own Way - 2004 Remaster,Rhino/Warner Records,62,75,220,425749,,AU
83,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,22,83,162,421400,,AU
84,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",25,84,68,414827,,AU
85,spotify:track:1zi7xx7UVEFkmKfv06H8x0,"Drake, Wizkid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,26,95,193,409753,,AU
